fid,datafangstdato,grensemerkenedsatti,grensepunktnummer,grensepunkttype,identifikasjon_lokalid,identifikasjon_navnerom,informasjon,kommnr,kvalitet_malemetode,kvalitet_noyaktighet,objtype,pkey,administrativgrense,cddaid,faktaark,folgerterrengdetalj,forvaltningsmyndighet,forvaltningsmyndighettype,forvaltningsplan,forvaltningsplandato,iucn,marinbeskyttelse,marineareapercentage,navn,nettverk_nettverkid,nettverk_nettverknavn,offisieltnavn,planbehov,revisjon,skjotselplan,skjotselplandato,skogvern,truetvurdering,vernedato,verneform,verneforskrift,verneplan,Areal,PosX,PosY
"17",,,,,VV00001109,NO.MILJODIREKTORATET.NATURBASE,,"1114,1121",,,Naturvernområde,facbe3dc-f269-4f69-a250-a314f571ac66,,"155411",https://faktaark.naturbase.no/?id=VV00001109,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"0.00000000",Trollhaug,,,Trollhaug naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19861212",naturreservat,https://lovdata.no/forskrift/1986-12-12-2295,verneplanMyr,949476.408,321256.06242548,6508984.1970142
"18",,,,,VV00001650,NO.MILJODIREKTORATET.NATURBASE,,"1106",,,Naturvernområde,68f28de5-e0c0-4867-b1c2-71f934f8f6aa,,"156150",https://faktaark.naturbase.no/?id=VV00001650,,Haugesund kommune,kommune,ingenPlan,,strictNatureReserve,,"40.56999969",Indrevær,,,Indrevær naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-812,verneplanSjøfugl,298836.236,281013.537719494,6593188.2899253
"19",,,,,VV00001238,NO.MILJODIREKTORATET.NATURBASE,,"1120",,,Naturvernområde,2caedb61-9e27-4465-9338-2358f66ba135,,"156389",https://faktaark.naturbase.no/?id=VV00001238,,Statsforvalteren i Rogaland,,godkjent,"20120106000000",strictNatureReserve,,"0.00000000",Alvevatnet,,,Alvevatnet naturreservat,forvaltningOgSkjøtselsplan,ikkeRevidert,godkjent,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-4203,verneplanVåtmark,111799.503,301985.887547082,6524154.64525849
"20",,,,,VV00001731,NO.MILJODIREKTORATET.NATURBASE,,"1130",,,Naturvernområde,bcaf557c-c55e-4eea-baaa-995ee1db5d00,,"156140",https://faktaark.naturbase.no/?id=VV00001731,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"50.63000107",Horgje,,,Horgje naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,truet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-833,verneplanSjøfugl,35320.713,318326.923944344,6546083.5060746
"21",,,,,VV00001620,NO.MILJODIREKTORATET.NATURBASE,,"1103",,,Naturvernområde,037ec339-8e2c-426a-851d-f66fd1669257,,"156375",https://faktaark.naturbase.no/?id=VV00001620,,Stavanger kommune ,kommune,ingenPlan,,strictNatureReserve,,"64.48000336",Vestre Mjølsnesholmen,,,Vestre Mjølsnesholmen naturreservat,skjøtselsplan,ikkeRevidert,ingenPlan,,ja,truet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-826,verneplanSjøfugl,160598.607,317542.517906996,6567735.10767932
"22",,,,,VV00001713,NO.MILJODIREKTORATET.NATURBASE,,"1106",,,Naturvernområde,7a9342e8-8d77-4bb0-8932-3cf3b85602fd,,"156298",https://faktaark.naturbase.no/?id=VV00001713,,Haugesund kommune,kommune,ingenPlan,,strictNatureReserve,,"74.94000244",Skåreholmen,,,Skåreholmen naturreservat,ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-813,verneplanSjøfugl,53456.348,284641.842235256,6594234.65523688
"23",,,,,VV00001116,NO.MILJODIREKTORATET.NATURBASE,,"1149",,,Naturvernområde,ca7df3f2-c633-4736-a442-4a80437b5f34,,"156631",https://faktaark.naturbase.no/?id=VV00001116,,Karmøy kommune,kommune,ingenPlan,,strictNatureReserve,,"0.00000000",Tjøsvollvatnet,,,Tjøsvollvatnet naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,truet,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1275,verneplanVåtmark,186440.568,283463.79557334,6575861.32128893
"24",,,,,VV00000332,NO.MILJODIREKTORATET.NATURBASE,,"1120",,,Naturvernområde,dae4aa46-3663-4d78-9a33-17035718e244,,"183005",https://faktaark.naturbase.no/?id=VV00000332,,Statsforvalteren i Rogaland,,underBehandling,,ikkeVurdert,,"0.00000000",Orrevatnet,,,Orrevatnet dyrelivsfredning,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,nei,truet,"19961220",dyrelivsfredning,https://lovdata.no/forskrift/1996-12-20-1279,verneplanVåtmark,170597.056,299729.775788672,6516623.92800187
"25",,,,,VV00000452,NO.MILJODIREKTORATET.NATURBASE,,"1149",,,Naturvernområde,2bbdd540-3eda-40b5-b372-affdee969591,,"156470",https://faktaark.naturbase.no/?id=VV00000452,,Karmøy kommune,kommune,ingenPlan,,strictNatureReserve,,"0.00000000",Heiavatnet,,,Heiavatnet naturreservat,forvaltningOgSkjøtselsplan,revidert,ingenPlan,,ja,ukjent,"19961220",naturreservat,https://lovdata.no/forskrift/1996-12-20-1274,verneplanVåtmark,378283.755,284930.201279567,6576344.87941585
"26",,,,,VV00001666,NO.MILJODIREKTORATET.NATURBASE,,"1145,1146",,,Naturvernområde,4bc81ee0-d9a1-470c-aba3-788fe8e5156e,,"156235",https://faktaark.naturbase.no/?id=VV00001666,,Statsforvalteren i Rogaland,,ingenPlan,,strictNatureReserve,,"50.70999908","Nautøy, Longholmen og Bukkholmen",,,"Nautøy, Longholmen og Bukkholmen naturreservat",ingen,ikkeRevidert,ingenPlan,,ja,ikkeTruet,"19820507",naturreservat,https://lovdata.no/forskrift/1982-05-07-821,verneplanSjøfugl,507235.71,303340.906377241,6571488.49018087
